1,GET,/,127.0.0.1,2025-04-14 05:12:19
1,GET,/favicon.ico,127.0.0.1,2025-04-14 05:12:19
1,GET,/logout,127.0.0.1,2025-04-14 05:13:39
None,GET,/,127.0.0.1,2025-04-14 05:13:39
None,GET,/favicon.ico,127.0.0.1,2025-04-14 05:13:39
None,GET,/,127.0.0.1,2025-04-14 05:14:42
None,GET,/,127.0.0.1,2025-04-14 05:15:02
Anonymous,GET,/,127.0.0.1,2025-04-14 05:16:15
Anonymous,GET,/docs,127.0.0.1,2025-04-14 05:16:48
Anonymous,GET,/favicon.ico,127.0.0.1,2025-04-14 05:16:48
Anonymous,GET,/api/user/,127.0.0.1,2025-04-14 05:17:16
Anonymous,GET,/api/user/,127.0.0.1,2025-04-14 05:17:29
Anonymous,GET,/login,127.0.0.1,2025-04-14 05:17:52
Anonymous,GET,/favicon.ico,127.0.0.1,2025-04-14 05:17:52
Anonymous,POST,/login,127.0.0.1,2025-04-14 05:18:07
1,GET,/,127.0.0.1,2025-04-14 05:18:08
1,GET,/profile,127.0.0.1,2025-04-14 05:18:11
1,POST,/api/gettoken/,127.0.0.1,2025-04-14 05:18:24
Anonymous,GET,/api/user/,127.0.0.1,2025-04-14 05:18:43
Anonymous,GET,/api/user/,127.0.0.1,2025-04-14 05:18:54
1,GET,/api/user/,127.0.0.1,2025-04-14 05:23:17
1,GET,/api/user/,127.0.0.1,2025-04-14 05:30:43
